key;severity;priority;changelog;num_comments;num_commenters;should_have_been_found;detection_phase;defect_root_cause;linked_fixes;linked_tasks
REPORT-0000;LOW;Normal;[('In Progress', '2026-04-21T16:40:54.201+0300'), ('Closed', '2026-04-21T17:00:03.297+0300')];2;1;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0001;SEVERE;Normal;[('In Progress', '2026-04-15T16:27:49.264+0300'), ('Closed', '2026-04-21T09:24:08.744+0300')];5;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0073', 'TASK-0006', 'TASK-0069']
REPORT-0002;LOW;Normal;[('In Progress', '2026-04-20T15:09:14.615+0300'), ('Closed', '2026-04-20T15:10:05.166+0300')];5;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0003;LOW;Normal;[('In Progress', '2026-04-14T12:54:37.602+0300'), ('Closed', '2026-04-14T12:58:29.003+0300')];5;4;Not a bug / Problem not reproducible;Verification;No Root Cause;[];['TASK-0203']
REPORT-0004;SEVERE;Critical;[('In Progress', '2026-04-21T09:17:21.169+0300'), ('Closed', '2026-04-21T09:18:43.849+0300')];7;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0005;LOW;Normal;[('In Progress', '2026-04-20T13:29:00.463+0300'), ('Closed', '2026-04-20T13:29:57.187+0300')];10;7;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0006;LOW;Normal;[('In Progress', '2026-04-13T11:15:41.590+0300'), ('Closed', '2026-04-13T11:19:05.127+0300')];14;4;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0007;SEVERE;Critical;[('In Progress', '2026-03-30T12:01:33.492+0300'), ('Closed', '2026-04-08T11:00:25.084+0300')];3;2;ID review;Verification;Code – component internal coding mistake;['FIX-0020'];[]
REPORT-0008;SEVERE;Normal;[('In Progress', '2026-03-30T15:58:03.454+0300'), ('Closed', '2026-04-08T13:07:43.957+0300')];7;5;Code review;Verification;Code – caused by previous fix;['FIX-0046'];['TASK-0073', 'TASK-0336', 'TASK-0006', 'TASK-0056']
REPORT-0009;SEVERE;Normal;[('In Progress', '2026-03-27T06:08:53.608+0200'), ('Closed', '2026-03-30T13:07:42.276+0300')];10;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0017']
