key;labels;storypoints;timespent
TASK-0000;None;None;None
TASK-0001;[];1.0;115200.0
TASK-0002;[];3.0;30600.0
TASK-0003;[];3.0;None
TASK-0004;['LABEL-00', 'LABEL-01'];2.0;3600.0
TASK-0005;[];1.0;None
TASK-0006;['LABEL-02'];2.0;39600.0
TASK-0007;[];3.0;54000.0
TASK-0008;[];3.0;14400.0
TASK-0009;['LABEL-03', 'LABEL-04'];None;14400.0
TASK-0010;[];None;81000.0
TASK-0011;[];1.0;14400.0
TASK-0012;[];3.0;72000.0
TASK-0013;[];3.0;50400.0
TASK-0014;[];2.0;10800.0
TASK-0015;[];3.0;72000.0
TASK-0016;[];3.0;54000.0
TASK-0017;[];5.0;10800.0
TASK-0018;['LABEL-05'];1.0;18000.0
TASK-0019;[];3.0;54000.0
TASK-0020;[];5.0;12600.0
TASK-0021;[];4.0;90000.0
TASK-0022;[];2.0;50400.0
TASK-0023;[];3.0;54000.0
TASK-0024;[];None;1800.0
TASK-0025;None;None;None
TASK-0026;None;None;None
TASK-0027;['LABEL-06'];3.0;36000.0
TASK-0028;[];None;72000.0
TASK-0029;[];3.0;32400.0
TASK-0030;[];3.0;36000.0
TASK-0031;['LABEL-02'];1.0;10800.0
TASK-0032;[];2.0;None
TASK-0033;[];2.0;28800.0
TASK-0034;['LABEL-07', 'LABEL-08', 'LABEL-05', 'LABEL-09'];2.0;3600.0
TASK-0035;[];3.0;108000.0
TASK-0036;['LABEL-05'];1.0;14400.0
TASK-0037;[];4.0;108000.0
TASK-0038;['LABEL-06'];0.5;122400.0
TASK-0039;[];2.0;19800.0
TASK-0040;['LABEL-06'];0.5;36000.0
TASK-0041;[];2.0;54000.0
TASK-0042;['LABEL-10', 'LABEL-11'];2.0;None
TASK-0043;[];1.0;18000.0
TASK-0044;['LABEL-10'];1.0;None
TASK-0045;[];3.0;36000.0
TASK-0046;['LABEL-12'];1.0;144000.0
TASK-0047;[];3.0;72000.0
TASK-0048;[];1.0;18000.0
TASK-0049;[];2.0;61200.0
TASK-0050;['LABEL-06'];3.0;18000.0
TASK-0051;[];3.0;72000.0
TASK-0052;[];1.0;39600.0
TASK-0053;[];1.0;None
TASK-0054;[];5.0;3600.0
TASK-0055;['LABEL-06'];2.0;54000.0
TASK-0056;[];3.0;61200.0
TASK-0057;[];4.0;86400.0
TASK-0058;['LABEL-02'];4.0;100800.0
TASK-0059;[];2.0;39600.0
TASK-0060;[];2.0;68400.0
TASK-0061;[];2.0;18000.0
TASK-0062;[];2.0;10800.0
TASK-0063;[];5.0;32400.0
TASK-0064;[];3.0;None
TASK-0065;[];2.0;None
TASK-0066;[];2.0;28800.0
TASK-0067;[];5.0;81000.0
TASK-0068;[];5.0;None
TASK-0069;None;None;None
TASK-0070;[];3.0;162000.0
TASK-0071;[];1.0;None
TASK-0072;[];3.0;72000.0
TASK-0073;['LABEL-02'];2.0;9000.0
TASK-0074;None;None;None
TASK-0075;[];5.0;72000.0
TASK-0076;[];3.0;54000.0
TASK-0077;['LABEL-06'];0.5;14400.0
TASK-0078;[];3.0;43200.0
TASK-0079;[];5.0;81000.0
TASK-0080;[];4.0;306000.0
TASK-0081;['LABEL-13', 'LABEL-05'];2.0;3600.0
TASK-0082;[];5.0;59400.0
TASK-0083;[];3.0;25200.0
TASK-0084;[];4.0;36000.0
TASK-0085;[];1.0;43200.0
TASK-0086;[];1.0;None
TASK-0087;None;None;None
TASK-0088;[];5.0;54000.0
